all_api,cuckoo+droidmon,Restricted API,Highly-Correlation API,Sensitive Operation/API
android.provider.Contacts/markAsContacted,,android.view.inputmethod.InputMethodManager/showInputMethodAndSubtypeEnabler,android.app.Application/Application,
android.provider.Browser/deleteFromHistory,,android.widget.QuickContactBadge/assignContactFromPhone,javax.crypto.Mac/getAlgorithm,
android.accounts.AccountManager/blockingGetAuthToken,,android.provider.ContactsContract/getWithUri,android.app.Service/onStartCommand,
android.app.DownloadManager/enqueue,,android.inputmethodservice.KeyboardView/swipeRight,java.lang.ClassLoader/getParent,
android.net.ConnectivityManager/startUsingNetworkFeature,,android.media.AudioRecord/AudioRecord,android.telephony.gsm.SmsManager/divideMessage,
android.telephony.SubscriptionManager/addOnSubscriptionsChangedListener,,android.provider.Contacts/addToGroup,android.widget.Button/setLeft,
android.location.LocationManager/getBestProvider,,android.telephony.TelephonyManager/getLine1Number,android.telephony.gsm.SmsManager/sendTextMessage,
android.accounts.AccountManager/hasFeatures,,android.provider.ContactsContract/getLookupUri,android.telephony.gsm.SmsManager/getDefault,
android.accounts.AccountManager/getAuthToken,,android.app.DownloadManager/addCompletedDownload,android.telephony.SignalStrength/getEvdoDbm,
android.provider.Browser/truncateHistory,,android.provider.Contacts/addPostalLocation,java.lang.Character/toTitleCase,
android.net.sip.SipManager/close,,android.telephony.SmsManager/sendDataMessage,android.text.format.Time/set,
android.net.sip.SipManager/unregister,,android.location.LocationManager/getLastKnownLocation,android.webkit.WebView/saveWebArchive,
android.app.KeyguardManager/exitKeyguardSecurely,,,android.app.Dialog/setOnKeyListener,
android.accounts.AccountManager/getAuthTokenLabel,,,java.util.SortedMap/putAll,
android.location.LocationManager/addGpsStatusListener,,,java.security.SecureRandom/setSeed,
android.media.MediaRecorder/setVideoSource,,,android.net.wifi.WifiManager/disableNetwork,
android.provider.Contacts/queryGroups,,,android.telephony.SmsMessage/getDisplayMessageBody,
android.telephony.SubscriptionManager/getActiveSubscriptionInfo,,,java.net.NetworkInterface/getByName,
android.telephony.TelephonyManager/getVoiceMailNumber,,,java.math.BigInteger/divideAndRemainder,
android.hardware.Camera/open,,,android.net.wifi.WifiManager/disconnect,
android.provider.ContactsContract/newSetOperation,,,android.app.Dialog/dispatchKeyEvent,
android.telephony.TelephonyManager/getAllCellInfo,,,java.lang.StringBuffer/ensureCapacity,
android.provider.Browser/clearSearches,,,java.util.SortedSet/addAll,
android.telephony.TelephonyManager/getVoiceMailAlphaTag,,,org.apache.http.conn.ConnectTimeoutException/printStackTrace,
android.telephony.gsm.SmsManager/divideMessage,,,java.lang.Process/getInputStream,
android.inputmethodservice.KeyboardView/swipeDown,,,javax.crypto.CipherOutputStream/flush,
android.net.sip.SipManager/isOpened,,,javax.crypto.CipherOutputStream/write,
android.location.LocationManager/isProviderEnabled,,,android.telephony.gsm.GsmCellLocation/getLac,
android.telephony.gsm.SmsManager/sendMultipartTextMessage,,,android.telephony.gsm.GsmCellLocation/getCid,
android.net.sip.SipManager/getSessionFor,,,android.telephony.TelephonyManager/getCellLocation,
android.telephony.TelephonyManager/getNeighboringCellInfo,,,javax.crypto.CipherOutputStream/close,
android.media.MediaRecorder/setAudioSource,,,android.webkit.WebView/removeJavascriptInterface,
android.speech.SpeechRecognizer/stopListening,,,android.net.wifi.WifiManager/enableNetwork,
android.location.LocationManager/addProximityAlert,,,android.widget.EditText/setFocusableInTouchMode,
android.provider.CalendarContract/query,,,java.io.FileReader/read,
android.provider.Contacts/getSetting,,,java.io.FileNotFoundException/toString,
android.accounts.AccountManager/updateCredentials,,,android.telephony.cdma.CdmaCellLocation/getBaseStationLatitude,
android.accounts.AccountManager/removeAccount,,,android.telephony.cdma.CdmaCellLocation/getBaseStationLongitude,
android.provider.CalendarContract/insert,,,android.text.Editable/toString,
android.accounts.AccountManager/addOnAccountsUpdatedListener,,,android.net.wifi.WifiManager/isWifiEnabled,
android.telephony.SmsManager/downloadMultimediaMessage,,,android.app.Service/onStart,
android.telecom.TelecomManager/isInCall,,,android.webkit.WebView/getVisibility,
android.telephony.SubscriptionManager/getActiveSubscriptionInfoForSimSlotIndex,,,java.net.SocketException/printStackTrace,
android.net.sip.SipManager/takeAudioCall,,,org.w3c.dom.Element/getElementsByTagName,
android.location.LocationManager/requestSingleUpdate,,,android.widget.EditText/getContext,
android.telephony.SubscriptionManager/getActiveSubscriptionInfoCount,,,android.webkit.WebView/setTag,
android.net.sip.SipManager/makeAudioCall,,,java.lang.ProcessBuilder/start,
android.provider.Browser/clearHistory,,,java.lang.ProcessBuilder/ProcessBuilder,
android.net.sip.SipManager/setRegistrationListener,,,android.text.format.Time/toMillis,
android.accounts.AccountManager/getAccountsByTypeAndFeatures,,,java.text.SimpleDateFormat/applyPattern,
android.telephony.SmsManager/sendMultimediaMessage,,,android.app.Service/onLowMemory,
android.speech.SpeechRecognizer/setRecognitionListener,,,android.widget.LinearLayout/setMinimumWidth,
android.provider.ContactsContract/get,,,android.app.Application/attachBaseContext,
android.provider.VoicemailContract/buildSourceUri,,,java.lang.Character/Character,
android.telephony.SubscriptionManager/getActiveSubscriptionInfoList,,,javax.crypto.Cipher/getBlockSize,
android.speech.SpeechRecognizer/startListening,,,android.telephony.SignalStrength/isGsm,
android.widget.QuickContactBadge/onClick,,,java.net.NetworkInterface/getInetAddresses,
android.net.sip.SipManager/isRegistered,,,android.telephony.PhoneStateListener/onSignalStrengthsChanged,
android.provider.Contacts/createPersonInMyContactsGroup,,,android.net.NetworkInfo/isAvailable,
android.telephony.gsm.SmsManager/sendDataMessage,,,java.util.WeakHashMap/size,
android.provider.Contacts/addToMyContactsGroup,,,java.util.jar.JarFile/JarFile,
android.location.LocationManager/getProviders,,,android.telephony.SignalStrength/getGsmSignalStrength,
android.provider.CallLog/getLastOutgoingCall,,,java.security.DigestInputStream/getMessageDigest,
android.accounts.AccountManager/confirmCredentials,,,android.database.sqlite.SQLiteDatabase/isOpen,
android.accounts.AccountManager/getAuthTokenByFeatures,,,java.util.Hashtable/keys,
android.telecom.TelecomManager/showInCallScreen,,,android.content.pm.PackageManager/getPackageArchiveInfo,
android.view.inputmethod.InputMethodManager/showInputMethodAndSubtypeEnabler,,,android.telephony.SignalStrength/getCdmaDbm,
android.widget.QuickContactBadge/assignContactFromPhone,,,android.widget.Toast/cancel,
android.provider.ContactsContract/getWithUri,,,java.nio.charset.IllegalCharsetNameException/IllegalCharsetNameException,
android.inputmethodservice.KeyboardView/swipeRight,,,java.nio.channels.FileChannel/lock,
android.media.AudioRecord/AudioRecord,,,java.lang.NumberFormatException/printStackTrace,
android.provider.Contacts/addToGroup,,,java.nio.channels.FileLock/release,
android.provider.ContactsContract/getLookupUri,,,java.lang.Float/Float,
android.app.DownloadManager/addCompletedDownload,,,java.io.OutputStreamWriter/flush,
android.provider.Contacts/addPostalLocation,,,java.net.SocketTimeoutException/printStackTrace,
android.location.LocationManager/getLastKnownLocation,,,java.security.DigestInputStream/read,
android.telephony.SmsManager/getDefault,,,java.lang.StringBuffer/substring,
android.net.wifi.WifiManager/setWifiEnabled,,,android.net.wifi.WifiManager/updateNetwork,
java.io.DataInputStream/readLine,,,android.telephony.TelephonyManager/getSimState,
android.telephony.SmsMessage/createFromPdu,,,android.util.Base64/encode,
java.security.InvalidAlgorithmParameterException/printStackTrace,,,android.app.Service/onConfigurationChanged,
android.net.Proxy/getDefaultPort,,,java.io.StringReader/close,
java.security.Key/getEncoded,,,android.webkit.CookieManager/removeAllCookie,
android.net.Proxy/getDefaultHost,,,android.widget.EditText/setFocusable,
android.content.IntentFilter/setPriority,,,java.util.SortedSet/iterator,
javax.crypto.IllegalBlockSizeException/printStackTrace,,,java.nio.charset.CoderResult/isError,
javax.crypto.BadPaddingException/printStackTrace,,,android.telephony.cdma.CdmaCellLocation/getSystemId,
org.xmlpull.v1.XmlSerializer/text,,,java.io.BufferedWriter/close,
java.security.cert.CertificateEncodingException/printStackTrace,,,javax.crypto.KeyGenerator/init,
java.lang.Process/waitFor,,,android.hardware.Sensor/getVersion,
android.telephony.SmsMessage/getOriginatingAddress,,,java.util.zip.Deflater/Deflater,
android.net.wifi.WifiManager/getConfiguredNetworks,,,android.hardware.Sensor/getVendor,
java.lang.Process/getOutputStream,,,java.io.ByteArrayOutputStream/reset,
android.telephony.SmsMessage/getMessageBody,,,javax.crypto.KeyGenerator/generateKey,
javax.crypto.spec.DESKeySpec/DESKeySpec,,,java.io.OutputStreamWriter/close,
java.net.URISyntaxException/getCause,,,android.widget.RadioButton/setOnCheckedChangeListener,
android.webkit.WebSettings/getMinimumFontSize,,,android.telephony.SmsManager/sendMultipartTextMessage,
java.util.concurrent.FutureTask/done,,,javax.crypto.KeyGenerator/getInstance,
java.io.BufferedInputStream/reset,,,java.security.spec.RSAPublicKeySpec/RSAPublicKeySpec,
java.io.BufferedInputStream/mark,,,java.security.DigestInputStream/DigestInputStream,
java.security.Security/setProperty,,,android.graphics.NinePatch/isNinePatchChunk,
android.webkit.WebSettings/setMinimumFontSize,,,android.net.wifi.WifiManager/saveConfiguration,
android.webkit.WebView/setDownloadListener,,,android.widget.EditText/setGravity,
javax.crypto.NoSuchPaddingException/printStackTrace,,,java.net.URLConnection/getHeaderField,
java.security.InvalidKeyException/printStackTrace,,,android.graphics.drawable.NinePatchDrawable/NinePatchDrawable,
java.util.concurrent.ThreadPoolExecutor/getCompletedTaskCount,,,java.util.concurrent.ScheduledExecutorService/awaitTermination,
java.util.concurrent.ThreadPoolExecutor/getTaskCount,,,java.net.Proxy/Proxy,
android.webkit.WebSettings/setTextSize,,,java.io.FileWriter/close,
java.security.cert.Certificate/getPublicKey,,,java.io.BufferedReader/ready,
android.net.NetworkInfo/getExtraInfo,,,android.widget.RadioButton/isChecked,
java.util.zip.Adler32/reset,,,android.webkit.WebView/removeAllViews,
java.io.LineNumberReader/close,,,android.text.format.Time/Time,
java.util.jar.JarFile/entries,,,java.util.Properties/put,
java.util.jar.JarEntry/getName,,,org.apache.http.params.HttpConnectionParams/setStaleCheckingEnabled,
android.os.HandlerThread/isAlive,,,java.lang.Integer/byteValue,
android.location.LocationManager/setTestProviderEnabled,,,android.content.ContentResolver/delete,
android.telephony.SignalStrength/getEvdoSnr,,,android.widget.LinearLayout/setBackgroundDrawable,
